2024-11-24 00:09:12.625 +04 [6036] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-24 00:09:13.311 +04 [6036] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.665 сек., синхр.=0.009 сек., всего=0.686 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.006 сек., средняя=0.003 сек.; расстояние=14 kB, ожидалось=599 kB; lsn=0/226CAB0, lsn redo=0/226CA58
2024-11-24 00:39:12.379 +04 [6036] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-24 00:39:13.058 +04 [6036] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.658 сек., синхр.=0.011 сек., всего=0.680 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=539 kB; lsn=0/226D070, lsn redo=0/226D018
2024-11-24 01:34:12.140 +04 [6036] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-24 01:34:12.598 +04 [6036] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.438 сек., синхр.=0.009 сек., всего=0.458 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=485 kB; lsn=0/226D7A0, lsn redo=0/226D748
2024-11-24 01:39:12.608 +04 [6036] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-24 01:39:13.063 +04 [6036] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.437 сек., синхр.=0.009 сек., всего=0.456 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=437 kB; lsn=0/226DEA0, lsn redo=0/226DE48
2024-11-24 01:44:12.072 +04 [6036] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-24 01:44:25.212 +04 [6036] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 120 (0.7%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=13.068 сек., синхр.=0.060 сек., всего=13.140 сек.; синхронизировано_файлов=71, самая_долгая_синхр.=0.005 сек., средняя=0.001 сек.; расстояние=507 kB, ожидалось=507 kB; lsn=0/22ECEB8, lsn redo=0/22ECE28
2024-11-24 02:04:12.220 +04 [6036] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-24 02:04:12.774 +04 [6036] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.540 сек., синхр.=0.007 сек., всего=0.554 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=457 kB; lsn=0/22ED5B8, lsn redo=0/22ED560
2024-11-24 02:29:12.796 +04 [6036] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-24 02:29:13.245 +04 [6036] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.433 сек., синхр.=0.009 сек., всего=0.450 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=411 kB; lsn=0/22EDD60, lsn redo=0/22EDD08
2024-11-24 02:54:12.271 +04 [6036] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-24 02:54:13.841 +04 [6036] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 15 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.543 сек., синхр.=0.018 сек., всего=1.571 сек.; синхронизировано_файлов=12, самая_долгая_синхр.=0.006 сек., средняя=0.002 сек.; расстояние=2 kB, ожидалось=370 kB; lsn=0/22EE6B8, lsn redo=0/22EE660
2024-11-24 03:19:12.883 +04 [6036] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-24 03:19:12.999 +04 [6036] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.003 сек., всего=0.116 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=333 kB; lsn=0/22EECB8, lsn redo=0/22EEC60
