2024-11-26 02:26:38.019 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 02:26:38.467 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.434 сек., синхр.=0.009 сек., всего=0.453 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=3 kB, ожидалось=3 kB; lsn=0/22F21D8, lsn redo=0/22F2180
2024-11-26 02:31:38.471 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 02:31:38.584 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.101 сек., синхр.=0.003 сек., всего=0.113 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=2 kB, ожидалось=3 kB; lsn=0/22F2CC0, lsn redo=0/22F2C68
2024-11-26 02:36:38.596 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 02:36:39.058 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.443 сек., синхр.=0.009 сек., всего=0.462 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=3 kB, ожидалось=3 kB; lsn=0/22F3C78, lsn redo=0/22F3C20
2024-11-26 03:01:38.088 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 03:01:38.663 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.554 сек., синхр.=0.010 сек., всего=0.576 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=4 kB, ожидалось=4 kB; lsn=0/22F4C80, lsn redo=0/22F4C28
2024-11-26 03:06:38.670 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 03:06:39.295 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.611 сек., синхр.=0.006 сек., всего=0.626 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=3 kB; lsn=0/22F5BB0, lsn redo=0/22F5B58
2024-11-26 03:11:38.295 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 03:11:38.741 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.432 сек., синхр.=0.008 сек., всего=0.446 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=3 kB, ожидалось=3 kB; lsn=0/22F6B50, lsn redo=0/22F6AF8
2024-11-26 03:16:38.748 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 03:16:39.196 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.434 сек., синхр.=0.008 сек., всего=0.448 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=4 kB, ожидалось=4 kB; lsn=0/22F7B88, lsn redo=0/22F7B30
2024-11-26 16:44:05.145 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 16:44:05.274 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.117 сек., синхр.=0.003 сек., всего=0.129 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=3 kB, ожидалось=4 kB; lsn=0/22F8998, lsn redo=0/22F8940
2024-11-26 16:59:05.968 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 16:59:06.083 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.104 сек., синхр.=0.003 сек., всего=0.115 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=3 kB, ожидалось=3 kB; lsn=0/22F97F0, lsn redo=0/22F9798
2024-11-26 17:24:05.118 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 17:24:05.247 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.115 сек., синхр.=0.003 сек., всего=0.129 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=4 kB, ожидалось=4 kB; lsn=0/22FA858, lsn redo=0/22FA800
2024-11-26 17:29:05.255 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 17:29:05.382 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.115 сек., синхр.=0.003 сек., всего=0.128 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=4 kB, ожидалось=4 kB; lsn=0/22FB9E0, lsn redo=0/22FB988
2024-11-26 17:34:05.395 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 17:34:05.509 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.003 сек., всего=0.114 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=4 kB, ожидалось=4 kB; lsn=0/22FCCB8, lsn redo=0/22FCC60
2024-11-26 17:39:05.521 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 17:39:05.642 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.107 сек., синхр.=0.003 сек., всего=0.121 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=4 kB, ожидалось=4 kB; lsn=0/22FDF90, lsn redo=0/22FDF38
2024-11-26 17:44:05.647 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 17:44:05.774 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.114 сек., синхр.=0.003 сек., всего=0.127 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=5 kB, ожидалось=5 kB; lsn=0/22FF438, lsn redo=0/22FF3E0
2024-11-26 18:54:05.860 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 18:54:06.085 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.212 сек., синхр.=0.004 сек., всего=0.226 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=5 kB, ожидалось=5 kB; lsn=0/2300A00, lsn redo=0/23009A8
2024-11-26 18:59:05.092 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 18:59:05.332 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.226 сек., синхр.=0.004 сек., всего=0.241 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=5 kB, ожидалось=5 kB; lsn=0/2301EA0, lsn redo=0/2301E48
2024-11-26 19:04:05.332 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 19:04:05.460 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.115 сек., синхр.=0.003 сек., всего=0.128 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=5 kB, ожидалось=5 kB; lsn=0/23033F0, lsn redo=0/2303398
2024-11-26 19:09:05.472 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 19:09:05.697 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.211 сек., синхр.=0.004 сек., всего=0.225 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=5 kB, ожидалось=5 kB; lsn=0/2304A10, lsn redo=0/23049B8
2024-11-26 19:14:05.703 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 19:14:05.927 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.211 сек., синхр.=0.004 сек., всего=0.225 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=5 kB, ожидалось=5 kB; lsn=0/2305EB0, lsn redo=0/2305E58
2024-11-26 19:24:05.952 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 19:24:06.082 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.116 сек., синхр.=0.003 сек., всего=0.130 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=5 kB, ожидалось=5 kB; lsn=0/2307638, lsn redo=0/23075E0
2024-11-26 19:29:05.096 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 19:29:05.223 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.115 сек., синхр.=0.003 сек., всего=0.128 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=6 kB, ожидалось=6 kB; lsn=0/2308F78, lsn redo=0/2308F20
2024-11-26 19:39:05.241 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 19:39:05.372 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.113 сек., синхр.=0.004 сек., всего=0.132 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=6 kB, ожидалось=6 kB; lsn=0/230A998, lsn redo=0/230A940
2024-11-26 20:49:05.460 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 20:49:05.591 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.116 сек., синхр.=0.003 сек., всего=0.131 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=6 kB, ожидалось=6 kB; lsn=0/230C470, lsn redo=0/230C418
2024-11-26 23:59:05.893 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 23:59:07.433 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 15 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.520 сек., синхр.=0.013 сек., всего=1.540 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=31 kB, ожидалось=31 kB; lsn=0/2314078, lsn redo=0/2314020
2024-11-26 23:59:43.971 +04 [11552] РћРЁРР‘РљРђ:  РЅРµРІРµСЂРЅР°СЏ РїРѕСЃР»РµРґРѕРІР°С‚РµР»СЊРЅРѕСЃС‚СЊ Р±Р°Р№С‚ РґР»СЏ РєРѕРґРёСЂРѕРІРєРё "UTF8": 0xd1 0xce
2024-11-26 23:59:43.971 +04 [11552] РћРџР•Р РђРўРћР :  /*pga4dash*/
	SELECT pg_read_file(pg_current_logfile(), 0, 10540);
	
2024-11-27 00:04:05.433 +04 [6020] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 00:04:08.511 +04 [6020] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 28 (0.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=3.053 сек., синхр.=0.014 сек., всего=3.079 сек.; синхронизировано_файлов=11, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=30 kB, ожидалось=30 kB; lsn=0/231BAD0, lsn redo=0/231BA40
2024-11-27 00:12:55.830 +04 [4856] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-11-27 00:12:55.830 +04 [8792] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
