2024-12-12 00:54:41.350 +04 [5564] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-12 00:54:51.906 +04 [5564] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 97 (0.6%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=10.486 сек., синхр.=0.057 сек., всего=10.557 сек.; синхронизировано_файлов=71, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=458 kB, ожидалось=458 kB; lsn=0/2530690, lsn redo=0/2530600
2024-12-12 00:59:41.902 +04 [5564] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-12 00:59:44.224 +04 [5564] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 22 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.286 сек., синхр.=0.026 сек., всего=2.322 сек.; синхронизировано_файлов=17, самая_долгая_синхр.=0.006 сек., средняя=0.002 сек.; расстояние=16 kB, ожидалось=414 kB; lsn=0/2534700, lsn redo=0/2534670
2024-12-12 01:44:41.291 +04 [5564] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-12 01:44:42.507 +04 [5564] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.198 сек., синхр.=0.007 сек., всего=1.216 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=12 kB, ожидалось=374 kB; lsn=0/2537A38, lsn redo=0/25379E0
2024-12-12 01:55:18.024 +04 [15600] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-12 01:55:18.024 +04 [7912] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-12 01:55:18.024 +04 [13452] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-12 02:04:41.543 +04 [5564] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-12 02:04:41.662 +04 [5564] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.106 сек., синхр.=0.003 сек., всего=0.119 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=336 kB; lsn=0/2537D10, lsn redo=0/2537CB8
