2024-12-15 13:21:06.119 +04 [5476] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2024-12-12 02:04:41 +04
2024-12-15 13:21:07.114 +04 [5476] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2024-12-15 13:21:07.118 +04 [5476] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/2537CB8
2024-12-15 13:21:07.119 +04 [5476] СООБЩЕНИЕ:  неверная длина записи в позиции 0/2537DC0: ожидалось минимум 24, получено 0
2024-12-15 13:21:07.119 +04 [5476] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/2537D88, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2024-12-15 13:21:07.122 +04 [5460] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2024-12-15 13:21:07.133 +04 [5460] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.002 сек., всего=0.012 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/2537DC0, lsn redo=0/2537DC0
2024-12-15 20:41:50.066 +04 [5460] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-15 20:41:50.181 +04 [5460] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.103 сек., синхр.=0.003 сек., всего=0.116 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=1 kB; lsn=0/2538248, lsn redo=0/25381F0
2024-12-15 21:01:50.206 +04 [5460] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-15 21:01:50.322 +04 [5460] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.103 сек., синхр.=0.003 сек., всего=0.116 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=1 kB; lsn=0/2538630, lsn redo=0/25385D8
2024-12-15 21:46:50.397 +04 [5460] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-15 21:46:50.516 +04 [5460] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.106 сек., синхр.=0.002 сек., всего=0.119 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=1 kB; lsn=0/2538D60, lsn redo=0/2538D08
2024-12-15 21:51:50.521 +04 [5460] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-15 21:51:50.974 +04 [5460] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.428 сек., синхр.=0.013 сек., всего=0.454 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.006 сек., средняя=0.003 сек.; расстояние=1 kB, ожидалось=1 kB; lsn=0/25393A0, lsn redo=0/2539348
2024-12-15 21:56:50.989 +04 [5460] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-15 21:56:51.549 +04 [5460] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.538 сек., синхр.=0.008 сек., всего=0.560 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=2 kB, ожидалось=2 kB; lsn=0/2539C78, lsn redo=0/2539C20
2024-12-15 23:11:50.674 +04 [5460] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-15 23:11:50.793 +04 [5460] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.104 сек., синхр.=0.003 сек., всего=0.119 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=2 kB; lsn=0/253A3F8, lsn redo=0/253A3A0
