2024-12-27 21:04:27.688 +04 [5736] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-27 21:04:28.793 +04 [5736] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 10 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.089 сек., синхр.=0.007 сек., всего=1.106 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=7 kB, ожидалось=7 kB; lsn=0/280CE88, lsn redo=0/280CDF8
2024-12-27 21:09:27.802 +04 [5736] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-27 21:09:28.464 +04 [5736] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.645 сек., синхр.=0.008 сек., всего=0.663 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=7 kB; lsn=0/280D418, lsn redo=0/280D3C0
2024-12-28 14:19:42.850 +04 [2904] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-28 17:55:31.817 +04 [5736] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-28 17:55:33.775 +04 [5736] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 19 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.927 сек., синхр.=0.022 сек., всего=1.960 сек.; синхронизировано_файлов=16, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=5 kB, ожидалось=7 kB; lsn=0/280EB78, lsn redo=0/280EAE8
2024-12-28 18:05:31.790 +04 [5736] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-28 18:05:32.705 +04 [5736] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.888 сек., синхр.=0.015 сек., всего=0.916 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=3 kB, ожидалось=6 kB; lsn=0/280FA48, lsn redo=0/280F9F0
2024-12-28 18:25:31.752 +04 [5736] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-28 18:25:32.318 +04 [5736] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.541 сек., синхр.=0.012 сек., всего=0.566 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=3 kB, ожидалось=6 kB; lsn=0/2810818, lsn redo=0/28107C0
2024-12-28 18:30:31.332 +04 [5736] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-28 18:30:31.898 +04 [5736] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.541 сек., синхр.=0.012 сек., всего=0.566 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.006 сек., средняя=0.002 сек.; расстояние=4 kB, ожидалось=6 kB; lsn=0/28118C8, lsn redo=0/2811870
2024-12-28 18:40:31.908 +04 [5736] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-28 18:40:33.244 +04 [5736] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 12 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.306 сек., синхр.=0.017 сек., всего=1.336 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.006 сек., средняя=0.003 сек.; расстояние=21 kB, ожидалось=21 kB; lsn=0/2816E20, lsn redo=0/2816DC8
2024-12-28 19:05:31.300 +04 [5736] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-28 19:05:31.541 +04 [5736] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.226 сек., синхр.=0.005 сек., всего=0.241 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=2 kB, ожидалось=19 kB; lsn=0/2817980, lsn redo=0/2817928
2024-12-28 19:20:31.581 +04 [5736] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-28 19:20:32.147 +04 [5736] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.546 сек., синхр.=0.010 сек., всего=0.566 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=4 kB, ожидалось=17 kB; lsn=0/2818B28, lsn redo=0/2818AD0
2024-12-28 20:05:31.209 +04 [5736] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-28 20:05:31.770 +04 [5736] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.545 сек., синхр.=0.007 сек., всего=0.562 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=4 kB, ожидалось=16 kB; lsn=0/2819DF8, lsn redo=0/2819DA0
2024-12-28 20:10:31.776 +04 [5736] СООБЩЕНИЕ:  начата контрольная точка: time
