2024-12-04 20:54:21.550 +04 [6008] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 20:54:22.121 +04 [6008] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.554 сек., синхр.=0.010 сек., всего=0.578 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=5 kB; lsn=0/242B158, lsn redo=0/242B100
2024-12-05 00:13:53.776 +04 [11412] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-05 13:42:55.212 +04 [6008] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-05 13:43:04.653 +04 [6008] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 86 (0.5%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=9.377 сек., синхр.=0.055 сек., всего=9.441 сек.; синхронизировано_файлов=64, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=440 kB, ожидалось=440 kB; lsn=0/2499218, lsn redo=0/24991C0
2024-12-05 13:47:55.667 +04 [6008] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-05 13:48:01.552 +04 [6008] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 54 (0.3%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=5.854 сек., синхр.=0.025 сек., всего=5.885 сек.; синхронизировано_файлов=23, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=141 kB, ожидалось=410 kB; lsn=0/24BC810, lsn redo=0/24BC780
2024-12-05 13:57:55.577 +04 [6008] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-05 13:57:55.690 +04 [6008] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.103 сек., синхр.=0.003 сек., всего=0.114 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=369 kB; lsn=0/24BCC50, lsn redo=0/24BCBF8
2024-12-05 14:30:18.165 +04 [14252] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-06 12:33:25.263 +04 [6008] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-06 12:33:25.376 +04 [6008] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.098 сек., синхр.=0.003 сек., всего=0.114 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=332 kB; lsn=0/24BD080, lsn redo=0/24BD028
